# Canonical StreetZim region registry — one row per shipped (or built) ZIM.
# Columns (tab-separated):
#   id	name	bbox(minlon,minlat,maxlon,maxlat)	tier	smoke_src(lat,lon)	smoke_dst(lat,lon)	smoke_search	notes
# bbox = the bbox the most recent shipped build actually used (from the
# build wrapper's "bbox:" stdout line, the queue spec, or the build script).
# Rows marked RECONSTRUCTED had no surviving local record; confirm before use.
# Smoke pairs are same-landmass city pairs well inside the bbox (100-500 km),
# used by cloud/route_cli.py and cloud/pwa_smoke_test.mjs (SMOKE_ROUTE).
# tier ∈ continent | multi-country | country | us-region | local (matches web/generate.py).
#
# --- local (small, fast; run first) ---
silicon-valley	Silicon Valley	-122.6,37.2,-121.7,37.9	local	37.7749,-122.4194	37.3382,-121.8863	Palo Alto	
washington-dc	Washington, D.C.	-77.12,38.79,-76.91,38.99	local	38.9076,-77.0723	38.8973,-77.0063	Georgetown	pair Georgetown->Union Station (7.3 km); the Capitol grounds are access-restricted and snap into an unreachable pocket
hawaii	Hawaii	-178.5,18.5,-154.5,28.5	local	21.2793,-157.8294	21.4180,-157.8036	Honolulu	pair Waikiki->Kaneohe via H-3 (routes in both engines, 23 km highway leg); Kailua had no highway entry and Pearl Harbor snapped 285 m off-road
chicago-metro	Chicago Metro	-88.5,41.0,-87.0,42.5	local	41.9742,-87.9073	41.8781,-87.6298	Chicago	
nyc-metro	NYC Metro	-74.6,40.4,-73.4,41.4	local	40.7831,-73.9712	40.6413,-73.7781	Brooklyn	
greater-la	Greater Los Angeles	-119.0,33.5,-117.0,34.8	local	33.9416,-118.4085	34.0928,-118.3287	Hollywood	
hispaniola	Hispaniola	-74.5,17.5,-68.3,20.1	local	18.4861,-69.9312	19.4517,-70.6970	Santo Domingo	
colorado	Colorado	-109.06,36.99,-102.04,41.00	local	39.7392,-104.9903	40.0150,-105.2705	Denver	
florida	Florida	-88.0,24.4,-79.5,31.5	local	25.7617,-80.1918	28.5384,-81.3789	Miami	
carolinas	The Carolinas	-84.4,32.0,-75.3,36.6	local	35.7796,-78.6382	35.5951,-82.5515	Charlotte	2026-07 blank-terrain incident region; terrain gate mandatory
new-york-state	New York State	-80.0,40.4,-71.8,45.0	local	40.7128,-74.0060	42.8864,-78.8784	Albany	
alaska	Alaska	-180.0,51.0,-130.0,72.0	local	61.2181,-149.9003	64.8378,-147.7164	Anchorage	crosses antimeridian edge (-180); ~3h build
california	California	-125.0,32.0,-114.0,42.0	local	37.7749,-122.4194	34.0522,-118.2437	Los Angeles	smoke pair is the 560 km SF->LA cross-state route (exercises spatial cell paging through the Central Valley + Grapevine)
texas	Texas	-106.7,25.8,-93.5,36.5	local	30.2672,-97.7431	29.4241,-98.4936	Houston	
# --- country ---
iceland	Iceland	-25.0,63.0,-13.0,67.0	country	64.1466,-21.9426	65.6826,-18.1107	Reykjavik	
south-korea	South Korea	124.0,33.0,131.5,39.0	country	37.5665,126.9780	35.1796,129.0756	Seoul	
egypt	Egypt	24.5,21.5,37.0,32.0	country	30.0444,31.2357	31.2001,29.9187	Cairo	
turkey	Turkey	26.0,35.0,46.0,42.5	country	41.0082,28.9784	39.9334,32.8597	Istanbul	
japan	Japan	122.9,24.0,146.0,45.6	country	35.6762,139.6503	35.4437,139.6380	Tokyo	
iran	Iran	44.0,25.0,63.5,39.8	country	35.6892,51.3890	35.8400,50.9391	Tehran	
